State|Total Number Less|Total DRD_NS,Number Less,DRD_NS
CA,6042,17953
GA,1469,3867
IA,298,481
LA,736,1848
MA,842,2138
PA,1305,4154
VA,2266,6261
WA,658,1733
DC,1442,4571
NC,1242,3154
SC,1148,2859
ID,399,807
MD,600,2288
ND,91,146
DE,265,901
NE,636,1239
NH,68,138
OH,1776,4596
HI,395,1293
MI,1620,3700
RI,80,278
WI,599,1605
NJ,482,1252
AK,256,650
OK,1010,2990
AL,1268,3222
FL,3934,11621
IL,713,1996
NM,97,631
IN,1684,4640
MN,1260,3718
TN,1086,3300
CO,1268,3873
MO,1169,3251
AR,370,1156
OR,600,1527
KS,688,1927
MS,433,1015
CT,521,1068
MT,171,581
UT,164,554
VT,66,200
NV,1026,3073
WV,508,1412
TX,5001,14975
KY,795,2804
NY,2336,6917
AZ,1246,3693
