id,Segment,Country,Product,Units Sold,Manufacturing,Sale Price,Gross Sales,Discounts,Discount Band,Sales,COGS,Profit,Date,Month Number,Month Name
1,orchestration,France,sagittis,2848,35.68,86.816,247251.968,,None,247251.968,145635.328,145635.328,10/18/2017 0:00,10,October
2,analyzing,Bolivia,pharetra,275,173.33,324.996,89373.9,,None,89373.9,41708.15,41708.15,9/2/2010 0:00,9,September
3,Compatible,Poland,mi,102,130.14,200.168,20417.136,,None,20417.136,7142.856,7142.856,7/20/2014 0:00,7,July
4,structure,Russia,mi,4308,149.83,194.796,839181.168,,None,839181.168,193713.528,193713.528,1/25/2021 0:00,1,January
5,strategy,Canada,id,948,3.96,58.752,55696.896,,None,55696.896,51942.816,51942.816,7/2/2021 0:00,7,July
6,Total,China,sit,2783,83.79,298.548,830859.084,,None,830859.084,597671.514,597671.514,12/1/2011 0:00,12,December
7,portal,China,vel,875,196.52,287.824,251846,,None,251846,79891,79891,3/18/2019 0:00,3,March
8,Triple-buffered,Nigeria,vulputate,762,142.01,217.412,165667.944,,None,165667.944,57456.324,57456.324,10/5/2019 0:00,10,October
9,projection,China,pretium,3831,41.62,195.944,750661.464,0.07,Discount Applied,750661.464,591215.244,591215.244,3/30/2016 0:00,3,March
10,Customizable,Indonesia,lectus,2264,147.96,227.552,515177.728,,None,515177.728,180196.288,180196.288,6/25/2020 0:00,6,June
11,secondary,Chile,nec,1327,202.47,275.964,366204.228,0.06,Discount Applied,366204.228,97526.538,97526.538,2/14/2015 0:00,2,February
12,Multi-tiered,Moldova,maecenas,2822,192.97,289.564,817149.608,,None,817149.608,272588.268,272588.268,5/14/2017 0:00,5,May
13,Persistent,Ukraine,lacinia,3647,145.16,213.192,777511.224,,None,777511.224,248112.704,248112.704,3/1/2021 0:00,3,March
14,Progressive,France,vel,1829,41.88,70.256,128498.224,,None,128498.224,51899.704,51899.704,11/19/2021 0:00,11,November
15,Open-architected,China,magna,655,44.55,120.46,78901.3,,None,78901.3,49721.05,49721.05,6/30/2012 0:00,6,June
16,Customizable,Nicaragua,est,2481,232.63,329.156,816636.036,,None,816636.036,239481.006,239481.006,9/5/2013 0:00,9,September
17,productivity,France,pulvinar,2399,120.39,296.468,711226.732,,None,711226.732,422411.122,422411.122,12/7/2016 0:00,12,December
18,multi-state,Mexico,massa,1993,190.91,237.092,472524.356,0.04,Discount Applied,472524.356,92040.726,92040.726,3/16/2015 0:00,3,March
19,matrices,China,diam,3622,110.64,140.768,509861.696,,None,509861.696,109123.616,109123.616,12/10/2020 0:00,12,December
20,initiative,China,habitasse,3775,169.97,280.964,1060639.1,,None,1060639.1,419002.35,419002.35,10/28/2010 0:00,10,October
21,standardization,Malawi,ipsum,4144,43.14,130.768,541902.592,,None,541902.592,363130.432,363130.432,7/8/2015 0:00,7,July
22,encoding,Portugal,pretium,4365,180.25,400.3,1747309.5,,None,1747309.5,960518.25,960518.25,3/30/2012 0:00,3,March
23,asymmetric,Sweden,ut,2976,103.57,195.284,581165.184,,None,581165.184,272940.864,272940.864,12/11/2010 0:00,12,December
24,productivity,Russia,vel,2646,178.72,240.464,636267.744,,None,636267.744,163374.624,163374.624,3/23/2012 0:00,3,March
25,Diverse,Chile,in,1169,193.27,331.924,388019.156,,None,388019.156,162086.526,162086.526,7/11/2016 0:00,7,July
26,workforce,China,accumsan,2848,148.49,202.188,575831.424,,None,575831.424,152931.904,152931.904,2/5/2013 0:00,2,February
27,Function-based,China,sit,670,15.49,68.588,45953.96,,None,45953.96,35575.66,35575.66,6/15/2010 0:00,6,June
28,leading edge,Portugal,nec,2277,141,192.2,437639.4,,None,437639.4,116582.4,116582.4,12/9/2015 0:00,12,December
29,array,Mexico,est,2480,193.39,342.068,848328.64,,None,848328.64,368721.44,368721.44,3/5/2014 0:00,3,March
30,portal,China,turpis,2472,181.31,371.572,918525.984,,None,918525.984,470327.664,470327.664,11/30/2015 0:00,11,November
31,stable,China,sit,1014,92.56,299.072,303259.008,,None,303259.008,209403.168,209403.168,6/6/2021 0:00,6,June
32,leading edge,Benin,luctus,1570,216.64,314.968,494499.76,,None,494499.76,154374.96,154374.96,4/2/2012 0:00,4,April
33,executive,Iran,dis,2153,60.7,129.84,279545.52,,None,279545.52,148858.42,148858.42,4/24/2021 0:00,4,April
34,Networked,Palestinian Territory,dapibus,2832,33.82,85.584,242373.888,,None,242373.888,146595.648,146595.648,11/24/2015 0:00,11,November
35,neural-net,China,quis,2326,32.56,228.072,530495.472,,None,530495.472,454760.912,454760.912,3/31/2014 0:00,3,March
36,dynamic,Brazil,rhoncus,1758,49.29,68.148,119804.184,,None,119804.184,33152.364,33152.364,12/31/2015 0:00,12,December
37,hierarchy,China,amet,3670,240.51,410.612,1506946.04,,None,1506946.04,624274.34,624274.34,5/29/2017 0:00,5,May
38,well-modulated,Indonesia,sit,4152,109.48,240.376,998041.152,,None,998041.152,543480.192,543480.192,3/26/2016 0:00,3,March
39,middleware,Brazil,accumsan,3069,150.38,249.456,765580.464,0.02,Discount Applied,765580.464,304064.244,304064.244,6/4/2020 0:00,6,June
40,Front-line,Indonesia,at,3632,127.65,349.18,1268221.76,0.09,Discount Applied,1268221.76,804596.96,804596.96,6/24/2012 0:00,6,June
41,Cloned,China,vestibulum,4201,170.07,331.084,1390883.884,0.04,Discount Applied,1390883.884,676419.814,676419.814,1/26/2012 0:00,1,January
42,intermediate,Indonesia,mattis,2434,12.8,143.36,348938.24,,None,348938.24,317783.04,317783.04,10/1/2017 0:00,10,October
43,dynamic,China,ut,3593,47.11,138.532,497745.476,,None,497745.476,328479.246,328479.246,3/10/2015 0:00,3,March
44,Adaptive,Israel,augue,1998,197.48,278.976,557394.048,,None,557394.048,162829.008,162829.008,3/11/2019 0:00,3,March
45,task-force,China,sed,2869,166.6,271.92,780138.48,,None,780138.48,302163.08,302163.08,6/17/2019 0:00,6,June
46,Reduced,Dominican Republic,ut,1102,127.35,304.82,335911.64,,None,335911.64,195571.94,195571.94,11/15/2010 0:00,11,November
47,Optional,Portugal,non,1349,153.53,294.236,396924.364,,None,396924.364,189812.394,189812.394,1/25/2014 0:00,1,January
48,Extended,United States,congue,3630,105.24,299.288,1086415.44,,None,1086415.44,704394.24,704394.24,6/27/2017 0:00,6,June
49,leading edge,Russia,faucibus,1235,194.4,291.28,359730.8,,None,359730.8,119646.8,119646.8,12/23/2016 0:00,12,December
50,scalable,Portugal,sit,758,142.64,214.168,162339.344,,None,162339.344,54218.224,54218.224,4/11/2015 0:00,4,April
51,global,Iran,at,4295,128.01,164.612,707008.54,,None,707008.54,157205.59,157205.59,5/18/2019 0:00,5,May
52,bandwidth-monitored,Colombia,aliquet,231,226.17,464.404,107277.324,,None,107277.324,55032.054,55032.054,2/2/2022 0:00,2,February
53,infrastructure,China,vestibulum,438,170.16,257.192,112650.096,,None,112650.096,38120.016,38120.016,4/24/2018 0:00,4,April
54,modular,China,pellentesque,1017,56.44,124.728,126848.376,,None,126848.376,69448.896,69448.896,11/26/2013 0:00,11,November
55,5th generation,Israel,tincidunt,1059,172.61,221.132,234178.788,,None,234178.788,51384.798,51384.798,3/31/2021 0:00,3,March
56,demand-driven,Philippines,ut,1367,25.61,146.732,200582.644,,None,200582.644,165573.774,165573.774,1/21/2022 0:00,1,January
57,modular,Azerbaijan,lobortis,4295,117.14,180.568,775539.56,,None,775539.56,272423.26,272423.26,4/3/2021 0:00,4,April
58,Distributed,Canada,sapien,279,25.47,190.564,53167.356,,None,53167.356,46061.226,46061.226,12/19/2016 0:00,12,December
59,leverage,Thailand,pede,2759,68.14,209.768,578749.912,,None,578749.912,390751.652,390751.652,2/13/2016 0:00,2,February
60,flexibility,Czech Republic,vestibulum,1527,52.38,161.856,247154.112,,None,247154.112,167169.852,167169.852,11/16/2021 0:00,11,November
61,Future-proofed,Guatemala,justo,2700,168.48,275.176,742975.2,,None,742975.2,288079.2,288079.2,9/19/2011 0:00,9,September
62,Phased,United States,vel,356,175.8,340.96,121381.76,,None,121381.76,58796.96,58796.96,11/24/2020 0:00,11,November
63,Cross-platform,China,elementum,2552,81.99,190.388,485870.176,,None,485870.176,276631.696,276631.696,1/21/2011 0:00,1,January
64,solution,Slovenia,tortor,643,159.04,375.848,241670.264,,None,241670.264,139407.544,139407.544,7/30/2015 0:00,7,July
65,Progressive,Pakistan,erat,1600,197.97,356.564,570502.4,,None,570502.4,253750.4,253750.4,1/28/2013 0:00,1,January
66,Progressive,Antigua and Barbuda,nulla,69,69.77,258.724,17851.956,,None,17851.956,13037.826,13037.826,3/16/2013 0:00,3,March
67,Networked,China,rutrum,401,52.44,115.928,46487.128,,None,46487.128,25458.688,25458.688,11/18/2014 0:00,11,November
68,Enterprise-wide,Japan,eget,348,132.09,219.508,76388.784,,None,76388.784,30421.464,30421.464,1/26/2011 0:00,1,January
69,Total,Portugal,ut,1146,94.26,182.112,208700.352,,None,208700.352,100678.392,100678.392,1/15/2014 0:00,1,January
70,Reduced,Thailand,cum,4081,87.24,268.688,1096515.728,,None,1096515.728,740489.288,740489.288,11/13/2016 0:00,11,November
71,hub,Czech Republic,ante,1381,128.3,219.96,303764.76,,None,303764.76,126582.46,126582.46,10/25/2011 0:00,10,October
72,Pre-emptive,Japan,ligula,3620,102.26,238.712,864137.44,,None,864137.44,493956.24,493956.24,3/3/2011 0:00,3,March
73,hardware,North Korea,felis,1486,166.66,366.992,545350.112,,None,545350.112,297693.352,297693.352,3/8/2014 0:00,3,March
74,maximized,Mexico,ultrices,30,229.73,324.676,9740.28,,None,9740.28,2848.38,2848.38,2/13/2013 0:00,2,February
75,Virtual,Portugal,tristique,1810,50.77,138.924,251452.44,,None,251452.44,159558.74,159558.74,3/19/2018 0:00,3,March
76,Stand-alone,Brazil,eget,1087,18.74,59.488,64663.456,0.05,Discount Applied,64663.456,44293.076,44293.076,10/27/2010 0:00,10,October
77,static,Portugal,rhoncus,2286,155.71,288.852,660315.672,,None,660315.672,304362.612,304362.612,10/16/2017 0:00,10,October
78,maximized,China,in,509,47.1,183.52,93411.68,,None,93411.68,69437.78,69437.78,8/29/2015 0:00,8,August
79,Diverse,Reunion,pulvinar,157,228.42,452.104,70980.328,,None,70980.328,35118.388,35118.388,8/9/2017 0:00,8,August
80,interactive,Bulgaria,id,1729,49.84,194.808,336823.032,,None,336823.032,250649.672,250649.672,8/11/2013 0:00,8,August
81,Open-source,China,pretium,1585,160.38,268.456,425502.76,,None,425502.76,171300.46,171300.46,9/11/2010 0:00,9,September
82,middleware,Indonesia,pede,1568,211.42,367.704,576559.872,,None,576559.872,245053.312,245053.312,10/14/2013 0:00,10,October
83,hub,Madagascar,interdum,1523,71.55,137.86,209960.78,,None,209960.78,100990.13,100990.13,3/12/2021 0:00,3,March
84,capacity,China,diam,2754,147.01,215.412,593244.648,0.09,Discount Applied,593244.648,188379.108,188379.108,6/6/2019 0:00,6,June
85,Enhanced,China,sagittis,488,93.32,231.984,113208.192,,None,113208.192,67668.032,67668.032,11/4/2012 0:00,11,November
86,Future-proofed,Mexico,velit,4425,204.1,275.92,1220946,,None,1220946,317803.5,317803.5,2/8/2012 0:00,2,February
87,hub,Guatemala,morbi,3527,35.62,147.744,521093.088,,None,521093.088,395461.348,395461.348,1/11/2014 0:00,1,January
88,flexibility,China,sociis,1448,72.35,166.82,241555.36,,None,241555.36,136792.56,136792.56,11/2/2021 0:00,11,November
89,data-warehouse,China,lacus,3156,137.53,251.036,792269.616,,None,792269.616,358224.936,358224.936,6/22/2021 0:00,6,June
90,exuding,Uzbekistan,morbi,2935,54.51,255.412,749634.22,,None,749634.22,589647.37,589647.37,6/8/2017 0:00,6,June
91,Programmable,Georgia,rutrum,717,218.67,307.404,220408.668,,None,220408.668,63622.278,63622.278,2/16/2018 0:00,2,February
92,actuating,Bolivia,eu,3273,46.99,209.388,685326.924,,None,685326.924,531528.654,531528.654,3/6/2014 0:00,3,March
93,Profound,Morocco,venenatis,2453,66.6,86.92,213214.76,,None,213214.76,49844.96,49844.96,1/24/2014 0:00,1,January
94,emulation,China,aliquam,4021,189.51,296.412,1191872.652,,None,1191872.652,429852.942,429852.942,5/14/2017 0:00,5,May
95,Innovative,Greece,justo,131,97.18,254.616,33354.696,,None,33354.696,20624.116,20624.116,4/19/2019 0:00,4,April
96,impactful,Armenia,mi,492,193.13,410.756,202091.952,,None,202091.952,107071.992,107071.992,10/1/2015 0:00,10,October
97,client-server,Finland,eget,3730,146.01,361.212,1347320.76,,None,1347320.76,802703.46,802703.46,11/12/2020 0:00,11,November
98,Automated,Philippines,nisi,3089,31.64,194.968,602256.152,,None,602256.152,504520.192,504520.192,7/20/2013 0:00,7,July
99,secondary,Czech Republic,mattis,1067,203.14,309.768,330522.456,,None,330522.456,113772.076,113772.076,4/13/2017 0:00,4,April
100,infrastructure,United States,nulla,2880,103.17,144.804,417035.52,,None,417035.52,119905.92,119905.92,11/25/2013 0:00,11,November
101,Enterprise-wide,Greece,pellentesque,2397,6.55,207.86,498240.42,,None,498240.42,482540.07,482540.07,10/17/2019 0:00,10,October
102,knowledge user,Vietnam,sem,2528,243.41,420.092,1061992.576,,None,1061992.576,446652.096,446652.096,3/28/2019 0:00,3,March
103,composite,Brazil,suscipit,955,198.68,251.416,240102.28,,None,240102.28,50362.88,50362.88,5/17/2019 0:00,5,May
104,monitoring,Venezuela,lacus,221,220.29,352.348,77868.908,,None,77868.908,29184.818,29184.818,1/31/2022 0:00,1,January
105,intermediate,Russia,auctor,775,143.25,257.9,199872.5,0.08,Discount Applied,199872.5,88853.75,88853.75,9/16/2013 0:00,9,September
106,service-desk,Indonesia,augue,760,149.88,349.856,265890.56,,None,265890.56,151981.76,151981.76,9/15/2011 0:00,9,September
107,scalable,Philippines,iaculis,3538,194.7,271.64,961062.32,,None,961062.32,272213.72,272213.72,12/16/2013 0:00,12,December
108,projection,China,nunc,4022,203.89,355.668,1430496.696,,None,1430496.696,610451.116,610451.116,10/1/2015 0:00,10,October
109,secondary,Paraguay,nullam,1718,127.57,161.084,276742.312,,None,276742.312,57577.052,57577.052,3/9/2018 0:00,3,March
110,3rd generation,Ukraine,nunc,658,246.64,405.968,267126.944,,None,267126.944,104837.824,104837.824,8/15/2014 0:00,8,August
111,Customer-focused,Philippines,tellus,3388,17.2,89.64,303700.32,,None,303700.32,245426.72,245426.72,1/21/2022 0:00,1,January
112,Customizable,Poland,aliquam,1349,239.77,415.724,560811.676,,None,560811.676,237361.946,237361.946,9/30/2010 0:00,9,September
113,capacity,Botswana,odio,2889,198.39,305.068,881341.452,0.02,Discount Applied,881341.452,308192.742,308192.742,8/5/2015 0:00,8,August
114,composite,Russia,ac,4143,68.21,99.852,413686.836,,None,413686.836,131092.806,131092.806,12/30/2019 0:00,12,December
115,neutral,Malaysia,aliquet,3685,76.21,110.452,407015.62,,None,407015.62,126181.77,126181.77,2/19/2013 0:00,2,February
116,Public-key,France,duis,1963,223.95,368.74,723836.62,,None,723836.62,284222.77,284222.77,3/9/2013 0:00,3,March
117,application,Nepal,justo,1492,168.96,360.752,538241.984,,None,538241.984,286153.664,286153.664,9/5/2012 0:00,9,September
118,throughput,Philippines,augue,1672,155.65,383.78,641680.16,,None,641680.16,381433.36,381433.36,6/16/2021 0:00,6,June
119,installation,Micronesia,tellus,1649,180.54,261.648,431457.552,,None,431457.552,133747.092,133747.092,1/25/2014 0:00,1,January
120,Ameliorated,Poland,consequat,2372,136.31,271.572,644168.784,,None,644168.784,320841.464,320841.464,6/7/2016 0:00,6,June
121,pricing structure,Egypt,vehicula,3566,172.14,277.568,989807.488,,None,989807.488,375956.248,375956.248,4/23/2013 0:00,4,April
122,Diverse,Indonesia,porta,229,204.49,405.388,92833.852,,None,92833.852,46005.642,46005.642,8/30/2011 0:00,8,August
123,Stand-alone,China,proin,1994,52.57,119.084,237453.496,,None,237453.496,132628.916,132628.916,1/11/2016 0:00,1,January
124,flexibility,Indonesia,cubilia,1915,219.32,444.184,850612.36,,None,850612.36,430614.56,430614.56,2/1/2016 0:00,2,February
125,content-based,Poland,semper,1493,10.27,39.324,58710.732,,None,58710.732,43377.622,43377.622,12/17/2014 0:00,12,December
126,collaboration,Burkina Faso,turpis,277,47.14,81.568,22594.336,,None,22594.336,9536.556,9536.556,3/6/2011 0:00,3,March
127,internet solution,Sweden,adipiscing,4150,238.62,470.344,1951927.6,,None,1951927.6,961654.6,961654.6,1/17/2022 0:00,1,January
128,solution-oriented,China,est,1028,38.35,214.02,220012.56,,None,220012.56,180588.76,180588.76,1/15/2022 0:00,1,January
129,Expanded,Philippines,interdum,1896,77.83,271.396,514566.816,,None,514566.816,367001.136,367001.136,3/3/2017 0:00,3,March
130,impactful,Yemen,habitasse,3724,120.38,305.456,1137518.144,,None,1137518.144,689223.024,689223.024,4/22/2020 0:00,4,April
131,background,China,semper,4185,235.07,350.084,1465101.54,,None,1465101.54,481333.59,481333.59,9/12/2014 0:00,9,September
132,holistic,Philippines,tortor,4113,34.24,120.088,493921.944,0.07,Discount Applied,493921.944,353092.824,353092.824,11/1/2014 0:00,11,November
133,Phased,Brazil,in,3789,76.14,271.368,1028213.352,0.04,Discount Applied,1028213.352,739718.892,739718.892,8/16/2012 0:00,8,August
134,system engine,Indonesia,rutrum,1129,97.35,138.82,156727.78,,None,156727.78,46819.63,46819.63,5/25/2016 0:00,5,May
